country,fertility,gdppercapita
Niger,7.18,396.0
"Congo, Dem. Rep.",6.02,409.0
Mali,5.97,762.0
Chad,5.85,823.0
Angola,5.62,3480.0
Burundi,5.62,213.0
Uganda,5.5,667.0
Nigeria,5.46,2410.0
Timor-Leste,5.39,2670.0
Gambia,5.36,534.0
Burkina Faso,5.27,689.0
Mozambique,5.18,519.0
Tanzania,4.95,901.0
Zambia,4.93,1650.0
Benin,4.91,860.0
Cote d'Ivoire,4.85,1630.0
Central African Republic,4.8,335.0
Guinea,4.78,823.0
Senegal,4.7,1130.0
Cameroon,4.64,1500.0
Mauritania,4.61,1310.0
"Congo, Rep.",4.6,2580.0
Equatorial Guinea,4.6,11500.0
Guinea-Bissau,4.56,605.0
Malawi,4.51,486.0
Liberia,4.51,352.0
Afghanistan,4.48,618.0
Sudan,4.47,1960.0
Sao Tome and Principe,4.39,1310.0
Togo,4.38,577.0
Sierra Leone,4.36,462.0
Iraq,4.31,5550.0
Comoros,4.28,770.0
Madagascar,4.13,422.0
Ethiopia,4.08,550.0
Eritrea,4.06,
Palestine,3.94,2490.0
Ghana,3.93,1810.0
Samoa,3.93,3850.0
Yemen,3.89,
Rwanda,3.81,765.0
Solomon Islands,3.8,1520.0
Kenya,3.79,1170.0
Gabon,3.72,9440.0
Zimbabwe,3.68,927.0
Papua New Guinea,3.61,2400.0
Kiribati,3.61,1710.0
Tonga,3.6,3860.0
Pakistan,3.41,1220.0
Namibia,3.35,5850.0
Jordan,3.31,3240.0
Tajikistan,3.31,1020.0
Vanuatu,3.24,2940.0
Egypt,3.21,2790.0
"Micronesia, Fed. Sts.",3.1,2860.0
Lesotho,3.04,1410.0
Swaziland,3.03,3910.0
Kyrgyz Republic,2.96,1070.0
Israel,2.95,34100.0
Guatemala,2.92,3120.0
Philippines,2.89,2890.0
Haiti,2.87,729.0
Bolivia,2.84,2520.0
Turkmenistan,2.84,7320.0
Djibouti,2.79,
Mongolia,2.71,4070.0
Algeria,2.71,4830.0
Botswana,2.68,7520.0
Lao,2.64,1730.0
Kazakhstan,2.6,10900.0
Oman,2.59,16100.0
Cambodia,2.53,1140.0
Panama,2.49,11500.0
Fiji,2.49,4320.0
Guyana,2.49,3870.0
Saudi Arabia,2.49,20800.0
Belize,2.48,4320.0
Ecuador,2.46,5270.0
Morocco,2.45,3290.0
Paraguay,2.45,3910.0
South Africa,2.43,7520.0
Honduras,2.42,2210.0
Dominican Republic,2.39,7150.0
Peru,2.37,6170.0
Suriname,2.35,8040.0
Indonesia,2.34,4130.0
India,2.3,1960.0
Cape Verde,2.3,3540.0
Venezuela,2.29,
Argentina,2.28,10400.0
Seychelles,2.28,14000.0
Uzbekistan,2.26,2030.0
Libya,2.24,7310.0
Myanmar,2.19,1480.0
Tunisia,2.18,4300.0
Nicaragua,2.17,2020.0
Mexico,2.15,9950.0
Nepal,2.08,728.0
Bangladesh,2.08,1090.0
Grenada,2.08,8960.0
El Salvador,2.06,3460.0
Azerbaijan,2.06,5810.0
Maldives,2.05,8980.0
Antigua and Barbuda,2.04,13600.0
Sri Lanka,2.03,3840.0
Turkey,2.03,14900.0
Malaysia,2.02,11500.0
Bhutan,2.02,2960.0
Bahrain,2.01,22100.0
Jamaica,1.99,4800.0
Georgia,1.99,4290.0
Ireland,1.98,74400.0
Uruguay,1.98,14400.0
France,1.98,42600.0
New Zealand,1.98,37900.0
Kuwait,1.96,33500.0
Vietnam,1.95,1830.0
Iceland,1.92,49900.0
Sweden,1.91,56900.0
United States,1.91,53100.0
St. Vincent and the Grenadines,1.91,6740.0
Qatar,1.89,65700.0
United Kingdom,1.87,42500.0
Brunei,1.86,31400.0
Australia,1.84,55900.0
Colombia,1.83,7600.0
Norway,1.82,91200.0
Barbados,1.8,16500.0
Belgium,1.79,46100.0
Finland,1.78,47100.0
Costa Rica,1.77,9790.0
Chile,1.77,15100.0
Bahamas,1.76,26500.0
Russia,1.76,11400.0
Denmark,1.75,61600.0
Netherlands,1.75,53600.0
Trinidad and Tobago,1.74,15400.0
United Arab Emirates,1.73,41200.0
Cuba,1.72,
Belarus,1.71,6380.0
Albania,1.71,4870.0
Lebanon,1.71,7200.0
Brazil,1.71,10900.0
Lithuania,1.66,16800.0
Montenegro,1.66,7810.0
Estonia,1.65,19000.0
Iran,1.64,6950.0
Slovenia,1.64,25700.0
China,1.63,7330.0
Serbia,1.62,5990.0
Armenia,1.6,4220.0
Luxembourg,1.58,108000.0
Bulgaria,1.58,8310.0
Canada,1.57,51300.0
Latvia,1.56,15600.0
Czech Republic,1.56,22800.0
Ukraine,1.55,2990.0
Switzerland,1.55,76700.0
"Macedonia, FYR",1.54,5250.0
Romania,1.53,10900.0
Austria,1.5,49100.0
Italy,1.48,34900.0
Malta,1.47,27100.0
Thailand,1.47,6130.0
Germany,1.47,46700.0
Japan,1.47,48600.0
Slovak Republic,1.46,19900.0
Croatia,1.45,15200.0
St. Lucia,1.45,8550.0
Mauritius,1.43,10200.0
Hungary,1.39,15600.0
Spain,1.38,32400.0
Bosnia and Herzegovina,1.38,5560.0
Cyprus,1.34,29400.0
South Korea,1.31,26200.0
Greece,1.3,23000.0
Poland,1.29,15800.0
Singapore,1.25,55200.0
Portugal,1.24,23100.0
Moldova,1.23,2170.0
